gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
42400141,2025-04-20 13:00,Oklahoma City,Thunder,1610612760,Memphis,Grizzlies,1610612763,131,80,1610612760,Playoffs,18203,1000052,West First Round,Game 1,1
42400161,2025-04-19 20:30,Los Angeles,Lakers,1610612747,Minnesota,Timberwolves,1610612750,95,117,1610612750,Playoffs,18997,1000069,West First Round,Game 1,1
42400121,2025-04-19 18:00,New York,Knicks,1610612752,Detroit,Pistons,1610612765,123,112,1610612752,Playoffs,19812,30,East First Round,Game 1,1
42400171,2025-04-19 15:30,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,112,110,1610612743,Playoffs,19973,1000046,West First Round,Game 1,1
42400131,2025-04-19 13:00,Indiana,Pacers,1610612754,Milwaukee,Bucks,1610612749,117,98,1610612754,Playoffs,17274,1000063,East First Round,Game 1,1
52400211,2025-04-18 21:30,Memphis,Grizzlies,1610612763,Dallas,Mavericks,1610612742,120,106,1610612763,Play-in Tournament,17794,242,SoFi Play-In Tournament,West,0
52400201,2025-04-18 19:00,Atlanta,Hawks,1610612737,Miami,Heat,1610612748,114,123,1610612748,Play-in Tournament,17690,650,SoFi Play-In Tournament,East,0
52400131,2025-04-16 22:00,Sacramento,Kings,1610612758,Dallas,Mavericks,1610612742,106,120,1610612742,Play-in Tournament,17939,609,SoFi Play-In Tournament,West,0
52400111,2025-04-16 19:30,Chicago,Bulls,1610612741,Miami,Heat,1610612748,90,109,1610612748,Play-in Tournament,21380,66,SoFi Play-In Tournament,East,0
52400121,2025-04-15 22:00,Golden State,Warriors,1610612744,Memphis,Grizzlies,1610612763,121,116,1610612744,Play-in Tournament,18064,1000011,SoFi Play-In Tournament,West,0
52400101,2025-04-15 19:30,Orlando,Magic,1610612753,Atlanta,Hawks,1610612737,120,95,1610612753,Play-in Tournament,18846,1000125,SoFi Play-In Tournament,East,0
22401193,2025-04-13 15:30,Houston,Rockets,1610612745,Denver,Nuggets,1610612743,111,126,1610612743,Regular Season,18055,215,,,0
22401194,2025-04-13 15:30,Memphis,Grizzlies,1610612763,Dallas,Mavericks,1610612742,132,97,1610612763,Regular Season,17794,242,,,0
22401195,2025-04-13 15:30,Minnesota,Timberwolves,1610612750,Utah,Jazz,1610612762,116,105,1610612750,Regular Season,18978,61,,,0
22401196,2025-04-13 15:30,New Orleans,Pelicans,1610612740,Oklahoma City,Thunder,1610612760,100,115,1610612760,Regular Season,17761,160,,,0
22401197,2025-04-13 15:30,San Antonio,Spurs,1610612759,Toronto,Raptors,1610612761,125,118,1610612759,Regular Season,18672,1000118,,,0
